epoch,g_loss,d_loss,adv_loss,ctc_loss,wid_loss,recn_loss
1,82.34409789,0.148443559,7.104656303,14.49220413,11.0087354,0.451947238
2,36.15262373,0.08249118,6.889386909,2.784776934,5.170885231,0.344093213
3,27.81054436,0.265684214,6.440312474,0.896287578,4.436363083,0.331221992
4,25.07476753,0.460756412,5.445566508,0.806425978,4.110243217,0.328386545
5,22.6321102,0.665753539,4.652528357,0.740629494,3.776100946,0.326417737
6,21.62102945,0.732591876,4.523640743,0.734838955,3.340228115,0.322148596
7,20.36294171,0.797491036,4.173760986,0.652550565,2.990712161,0.320098078
8,19.70504189,0.853870387,4.066633942,0.594312073,2.831919618,0.322018419
9,19.1221559,0.853487959,3.995644015,0.572647728,2.611342361,0.320272135
10,18.71982028,0.879080062,4.024379548,0.544414745,2.414691221,0.322249356
11,18.25112762,0.898888637,3.944736019,0.514590682,2.30720264,0.319429773
12,18.09721234,0.928781604,3.982476245,0.509624535,2.238872884,0.317130618
13,17.61206766,0.948796373,3.736062938,0.503681645,2.131159628,0.318828062
14,17.53510983,0.977971472,3.835744487,0.497838529,2.076944344,0.31677497
15,16.90096471,1.014178736,3.553012979,0.462080994,1.965806713,0.315513901
16,16.80800877,1.013460183,3.644503531,0.443583573,1.895329774,0.311805222
17,17.53925679,0.976396378,3.829099888,0.49697644,2.169682387,0.313424317
18,17.07715825,0.98065229,3.663120459,0.481938765,2.022160452,0.311031679
19,16.97048216,0.987848929,3.743440088,0.471649452,1.962293804,0.308077193
20,16.84682472,0.983271181,3.722714226,0.47296021,1.912062427,0.307088361
21,16.6710266,0.991532056,3.655480923,0.467362589,1.843189939,0.30702875
22,16.39511557,1.006013984,3.677883183,0.455619377,1.748867053,0.302542146
23,16.09504845,1.028132743,3.52091344,0.450015839,1.69771825,0.299014481
24,16.05664837,1.020651861,3.492135504,0.444042416,1.72658409,0.298381237
25,15.87478711,1.018131979,3.589678699,0.421161405,1.61859938,0.296620445
26,15.73644028,1.035059876,3.497502071,0.439050018,1.568759287,0.29484345
27,15.73960615,1.037970775,3.538052217,0.440777008,1.577143065,0.293576497
28,15.51513227,1.050496647,3.476534441,0.420170971,1.526914947,0.293201533
29,15.49061657,1.044122653,3.518001592,0.41488608,1.486898956,0.293323696
30,15.37600249,1.029257129,3.470971401,0.421857998,1.483928713,0.291698582
31,15.23187677,1.044584122,3.525083853,0.403069981,1.404611497,0.289151129
32,14.95309455,1.055006704,3.362727424,0.391529699,1.373868268,0.288676219
33,14.97528037,1.071602568,3.39066919,0.413777771,1.312865848,0.288455263
34,14.95147604,1.05657384,3.423543347,0.388954731,1.3576485,0.28774645
35,14.91310277,1.053376449,3.41676801,0.407047706,1.311949029,0.287449703
36,14.75686116,1.059429738,3.407835609,0.390152083,1.248213346,0.286069136
37,14.67144422,1.069044914,3.325070408,0.38811607,1.254676561,0.28660831
38,14.65983583,1.075983679,3.355447611,0.404842589,1.210502373,0.28576678
39,14.54032254,1.065091619,3.39660692,0.373773865,1.167981715,0.28753078
40,14.39936163,1.071440526,3.275046261,0.373015252,1.178899611,0.28692008
41,14.50194477,1.069228578,3.329768581,0.387880261,1.167154192,0.286359231
42,14.31882506,1.073352664,3.319668082,0.358687858,1.139799929,0.284231706
43,14.31596767,1.081457928,3.345426384,0.365287195,1.107812705,0.28527686
44,14.24685517,1.083497099,3.295802322,0.375486474,1.099632258,0.283504185
45,14.08315085,1.081846745,3.270841734,0.352852307,1.045824312,0.283168691
46,14.00641376,1.082189472,3.251306189,0.356121775,0.999503058,0.282457165
47,14.12936754,1.079071369,3.252468306,0.370224902,1.055917367,0.283989887
48,13.97130406,1.085893342,3.255060207,0.347323705,1.01996663,0.281873947
49,13.88288038,1.095574987,3.226918024,0.346304709,0.980690442,0.281981858
50,13.83082225,1.103098813,3.190168355,0.344702873,0.991013647,0.280588553
